標題,分類,作者,時間,連結,關鍵字
為何柯文哲組黨不找「新人」？　眾人一句話揭殘酷關鍵,NOWnews>IAFB,編輯中心綜合報導,2019-08-05 18:25:37,https://www.nownews.com/news/20190805/3543376/,2020總統大選台灣民眾黨新人柯文哲組黨
軍武∕81公厘迫砲二代雲豹甲車　台北國防展將亮相,NOWnews>政治,記者呂炯昌台北報導,2019-08-05 18:00:03,https://www.nownews.com/news/20190805/3543225/,世貿國防展軍備局迫砲雲豹甲車
郁慕明預言　柯文哲不選2020　台北市長做到滿,NOWnews>政治,記者陳弘志綜合報導,2019-08-05 17:27:52,https://www.nownews.com/news/20190805/3543218/,2020台北市長台灣民眾黨柯文哲郁慕明
影∕不為「貪污說」道歉　柯文哲：私菸案慶富案辦到哪？,NOWnews>焦點>外交出訪走私菸,記者丁上程台北報導,2019-08-05 17:14:47,https://www.nownews.com/news/20190805/3543209/,慶富案柯文哲私菸案蔡英文貪污
小林村民遭法院追討國賠訴訟費用　韓國瑜：我全部負責,NOWnews>地方,記者郭凱杰∕高雄報導,2019-08-05 17:04:27,https://www.nownews.com/news/20190805/3543127/,小林村王淺秋莫拉克訴訟費韓國瑜
給韓國瑜建議？朱立倫談「一碗滷肉飯的啟示」,NOWnews>IAFB,記者陳弘志綜合報導,2019-08-05 16:59:56,https://www.nownews.com/news/20190805/3543186/,2020朱立倫滷肉飯經濟韓國瑜
驚傳小三通9月起全面暫停？陸委會：媒體誤傳,NOWnews>兩岸,記者呂炯昌台北報導,2019-08-05 16:47:51,https://www.nownews.com/news/20190805/3543118/,小三通澎湖金門陸客馬祖
挑戰陳明文　國民黨嘉義縣黨部開放初選登記,NOWnews>地方,記者陳惲朋∕嘉義報導,2019-08-05 16:46:06,https://www.nownews.com/news/20190805/3543032/,嘉義縣國民黨立法委員蔡明顯許能通陳明文
中市議會藍營黨團訪韓國瑜　全力相挺輔選,NOWnews>地方>中彰投,記者柳榮俊∕台中報導,2019-08-05 16:46:03,https://www.nownews.com/news/20190805/3543063/,台中市議會庶民力量張清照韓國瑜顏清標
不利2020？韓國瑜網路聲量輸柯文哲　「負聲量」居高不下,NOWnews>IAFB,記者陳弘志綜合報導,2019-08-05 16:35:52,https://www.nownews.com/news/20190805/3543033/,柯文哲桃園網路聲量郭台銘韓國瑜
